time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-09 00:00:00+00:00,582,108,649,141
2022-03-10 00:00:00+00:00,487,103,729,140
2022-03-11 00:00:00+00:00,383,87,813,131
2022-03-12 00:00:00+00:00,118,71,193,62
2022-03-13 00:00:00+00:00,94,52,261,80
2022-03-14 00:00:00+00:00,213,85,677,129
2022-03-15 00:00:00+00:00,609,145,783,132
2022-03-16 00:00:00+00:00,1196,127,1688,170
2022-03-17 00:00:00+00:00,316,101,1192,157
2022-03-18 00:00:00+00:00,705,94,1034,147
2022-03-19 00:00:00+00:00,396,111,801,155
2022-03-20 00:00:00+00:00,214,88,362,182
2022-03-21 00:00:00+00:00,596,126,773,173
2022-03-22 00:00:00+00:00,325,114,619,153
